season,week,team,player_id,player_name,position_group,status,report_date,source
2026,2,GB,,Ty'Ron Hopper,LB,active,2026-09-19 01:18:00+00:00,espn
2026,2,GB,,Warren Brinson,IDL,out,2026-09-19 01:13:00+00:00,espn
2026,2,GB,,Devonte Wyatt,IDL,active,2026-09-18 23:34:00+00:00,espn
2026,2,GB,,Benjamin St-Juste,CB,questionable,2026-09-18 19:49:00+00:00,espn
2026,2,GB,,Barryn Sorrell,EDGE,active,2026-09-18 19:45:00+00:00,espn
2026,2,GB,,Josh Whyle,TE,active,2026-09-16 23:42:00+00:00,espn
2026,2,GB,,Brandon Cisse,CB,active,2026-09-16 23:32:00+00:00,espn
2026,2,GB,,Zaire Franklin,LB,active,2026-09-16 02:54:00+00:00,espn
2026,2,GB,,Edgerrin Cooper,LB,active,2026-09-16 00:18:00+00:00,espn
2026,2,GB,,Keisean Nixon,CB,active,2026-09-16 00:12:00+00:00,espn
2026,2,GB,,Trey Smack,PK,active,2026-09-15 01:57:00+00:00,espn
2026,2,GB,,Skyy Moore,WR,active,2026-09-15 01:56:00+00:00,espn
2026,2,GB,,Kaleb Johnson,RB,active,2026-09-15 01:52:00+00:00,espn
2026,2,GB,,Bo Melton,WR,active,2026-09-15 00:52:00+00:00,espn
2026,2,GB,,Jonnu Smith,TE,active,2026-09-15 00:24:00+00:00,espn
2026,2,GB,,Chris Brooks,RB,active,2026-09-15 00:16:00+00:00,espn
2026,2,GB,,Travis Glover,OT,active,2026-09-14 15:14:00+00:00,espn
2026,2,GB,,Anthony Campbell,IDL,active,2026-09-14 15:14:00+00:00,espn
2026,2,GB,,Matthew Golden,WR,active,2026-09-14 01:48:00+00:00,espn
2026,2,GB,,MarShawn Lloyd,RB,active,2026-09-14 01:35:00+00:00,espn
2026,2,GB,,Jordan Love,QB,active,2026-09-14 01:34:00+00:00,espn
2026,2,HOU,,Ed Ingram,IOL,out,2026-09-20 14:07:00+00:00,espn
2026,2,HOU,,Lewis Bond,WR,active,2026-09-19 20:14:00+00:00,espn
2026,2,HOU,,Nico Collins,WR,out,2026-09-19 19:55:00+00:00,espn
2026,2,HOU,,Jadeveon Clowney,EDGE,out,2026-09-18 23:56:00+00:00,espn
